signal_date,symbol,entry_price,exit_price,pnl_amount,pnl_percentage,cumulative_balance,outcome,vix_value,market_regime,exit_date_daily,days_to_result,z_score
2021-03-24,LT,1369.15,1319.86,-3598.17,-3.6,75695.69,HIT_STOP_LOSS,22.7,BULL_SLOPE_50,2021-04-19,13,-2.22
2021-03-25,NIFTY,14324.9,15141.54,4899.84,5.7,80595.53,HIT_TARGET,20.65,BULL_SLOPE_50,2021-05-20,29,-2.21
2021-03-31,SUZLON,4.6,4.33,-5869.53,-5.87,74726.0,HIT_STOP_LOSS,19.99,BULL_SLOPE_50,2021-04-12,6,-2.52
2021-07-20,RVNL,30.4,29.59,-2664.09,-2.66,72061.91,HIT_STOP_LOSS,13.21,BULL_SLOPE_50,2021-07-29,6,-2.62
2021-07-21,HUDCO,50.0,48.15,-3700.0,-3.7,68361.91,HIT_STOP_LOSS,11.89,BULL_SLOPE_50,2021-07-26,3,-2.02
2021-07-21,RVNL,30.4,29.59,-2664.09,-2.66,65697.82,HIT_STOP_LOSS,11.89,BULL_SLOPE_50,2021-07-29,6,-2.62
2021-07-23,RVNL,30.25,29.45,-2644.0,-2.64,63053.82,HIT_STOP_LOSS,11.76,BULL_SLOPE_50,2021-08-04,7,-2.06
2021-07-23,HINDUNILVR,2358.1,2441.1,3486.0,3.52,66539.82,HIT_TARGET,11.76,BULL_SLOPE_50,2021-08-16,13,-2.39
2021-07-26,HINDUNILVR,2358.1,2441.1,3486.0,3.52,70025.82,HIT_TARGET,13.23,BULL_SLOPE_50,2021-08-16,13,-2.39
2021-07-27,HINDUNILVR,2342.4,2415.5,3070.2,3.12,73096.02,HIT_TARGET,13.69,BULL_SLOPE_50,2021-08-16,12,-2.26
2021-07-28,SUZLON,6.1,5.54,-9098.11,-9.1,63997.9,HIT_STOP_LOSS,12.95,BULL_SLOPE_50,2021-08-19,13,-2.18
2021-07-28,AXISBANK,722.9,759.23,5013.54,5.03,69011.44,HIT_TARGET,12.95,BULL_SLOPE_50,2021-08-09,7,-2.08
2021-07-28,HDFCBANK,708.6,739.14,4306.14,4.31,73317.58,HIT_TARGET,12.95,BULL_SLOPE_50,2021-08-04,5,-2.11
2021-07-28,HUDCO,45.2,43.45,-3882.06,-3.88,69435.52,HIT_STOP_LOSS,12.95,BULL_SLOPE_50,2021-08-09,7,-2.54
2021-07-28,POLYCAB,1791.65,1910.88,6557.65,6.65,75993.17,HIT_TARGET,12.95,BULL_SLOPE_50,2021-08-12,10,-2.46
2021-07-29,SUZLON,5.85,5.31,-9230.76,-9.23,66762.41,HIT_STOP_LOSS,12.8,BULL_SLOPE_50,2021-08-19,12,-2.18
2021-07-29,HUDCO,45.4,43.67,-3809.46,-3.81,62952.95,HIT_STOP_LOSS,12.8,BULL_SLOPE_50,2021-08-04,4,-2.06
2021-07-30,AXISBANK,708.9,745.27,5128.17,5.13,68081.12,HIT_TARGET,12.8,BULL_SLOPE_50,2021-08-03,2,-2.27
2021-07-30,RELIANCE,970.0,1010.87,4209.61,4.21,72290.73,HIT_TARGET,12.8,BULL_SLOPE_50,2021-08-04,3,-2.01
2021-08-02,AXISBANK,708.9,745.27,5128.17,5.13,77418.9,HIT_TARGET,13.75,BULL_SLOPE_50,2021-08-03,2,-2.27
2021-08-20,JWL,30.75,35.46,15316.92,15.32,92735.82,HIT_TARGET,14.02,BULL_SLOPE_50,2021-09-08,11,-2.32
2021-08-23,JWL,30.75,35.46,15316.92,15.32,108052.74,HIT_TARGET,13.19,BULL_SLOPE_50,2021-09-08,11,-2.32
2021-10-28,HUDCO,43.15,45.13,4587.66,4.59,112640.4,HIT_TARGET,17.43,BULL_SLOPE_50,2021-11-08,5,-2.28
2021-10-29,HUDCO,42.85,44.28,3336.19,3.34,115976.59,HIT_TARGET,17.43,BULL_SLOPE_50,2021-11-08,4,-2.43
2021-11-01,HUDCO,42.85,44.28,3336.19,3.34,119312.78,HIT_TARGET,17.06,BULL_SLOPE_50,2021-11-08,4,-2.43
2021-11-26,SBIN,470.5,455.78,-3120.64,-3.13,116192.14,HIT_STOP_LOSS,20.8,BULL_SLOPE_50,2021-12-20,13,-2.37
2021-11-26,NIFTY,17026.45,16715.19,-1556.28,-1.83,114635.86,HIT_STOP_LOSS,20.8,BULL_SLOPE_50,2021-12-20,13,-2.72
2021-11-26,HINDUNILVR,2335.1,2301.52,-1410.15,-1.44,113225.71,HIT_STOP_LOSS,20.8,BULL_SLOPE_50,2021-12-14,10,-2.25
2021-11-29,SBIN,470.5,455.78,-3120.64,-3.13,110105.07,HIT_STOP_LOSS,21.17,BULL_SLOPE_50,2021-12-20,13,-2.37
2021-11-29,NIFTY,17026.45,16715.19,-1556.28,-1.83,108548.79,HIT_STOP_LOSS,21.17,BULL_SLOPE_50,2021-12-20,13,-2.72
2021-11-29,HINDUNILVR,2335.1,2301.52,-1410.15,-1.44,107138.64,HIT_STOP_LOSS,21.17,BULL_SLOPE_50,2021-12-14,10,-2.25
2021-11-30,SUNPHARMA,753.6,795.24,5496.48,5.53,112635.12,HIT_TARGET,19.45,BULL_SLOPE_50,2021-12-21,13,-2.45
2021-11-30,SBIN,460.55,491.37,6687.94,6.69,119323.06,HIT_TARGET,19.45,BULL_SLOPE_50,2021-12-07,5,-2.39
2021-11-30,NIFTY,16983.2,17596.66,3067.31,3.61,122390.37,HIT_TARGET,19.45,BULL_SLOPE_50,2022-01-03,20,-2.31
2021-12-01,SUNPHARMA,745.35,787.47,5644.08,5.65,128034.45,HIT_TARGET,18.09,BULL_SLOPE_50,2021-12-21,12,-2.34
2021-12-21,HDFCBANK,720.9,751.02,4156.56,4.18,132191.01,HIT_TARGET,16.58,BEAR_FLAT_50,2022-01-03,8,-2.73
2021-12-21,ADANIENT,1620.5,1724.96,6372.06,6.45,138563.07,HIT_TARGET,16.58,BEAR_FLAT_50,2021-12-27,4,-2.32
2022-02-15,SUZLON,8.9,10.62,19324.2,19.33,157887.27,HIT_TARGET,20.59,BEAR_FLAT_50,2022-04-06,28,-2.37
2022-02-16,JWL,41.8,38.23,-8527.48,-8.53,149359.79,HIT_STOP_LOSS,22.01,BEAR_FLAT_50,2022-02-23,5,-2.39
2022-02-16,HUDCO,36.9,35.89,-2737.1,-2.74,146622.69,HIT_STOP_LOSS,22.01,BEAR_FLAT_50,2022-02-21,3,-2.4
2022-02-17,ICICIBANK,750.35,732.75,-2340.8,-2.35,144281.89,HIT_STOP_LOSS,22.17,BEAR_FLAT_50,2022-02-23,4,-2.55
2022-02-22,HUDCO,33.55,32.32,-3665.4,-3.67,140616.49,HIT_STOP_LOSS,24.54,BEAR_FLAT_50,2022-02-23,2,-2.56
2022-02-22,RVNL,31.2,30.14,-3413.32,-3.41,137203.17,HIT_STOP_LOSS,24.54,BEAR_FLAT_50,2022-02-23,2,-2.4
2022-02-24,SBIN,472.65,457.18,-3265.22,-3.27,133937.94,HIT_STOP_LOSS,26.74,BEAR_FLAT_50,2022-03-07,5,-2.74
2022-02-24,RVNL,29.2,31.69,8525.76,8.53,142463.7,HIT_TARGET,26.74,BEAR_FLAT_50,2022-03-02,3,-2.61
2022-02-25,HINDUNILVR,2170.7,2122.55,-2214.9,-2.22,140248.8,HIT_STOP_LOSS,26.74,BEAR_FLAT_50,2022-03-02,2,-2.56
2022-02-28,HINDUNILVR,2170.7,2122.55,-2214.9,-2.22,138033.9,HIT_STOP_LOSS,28.57,BEAR_FLAT_50,2022-03-02,2,-2.56
2022-03-01,HINDUNILVR,2170.7,2122.55,-2214.9,-2.22,135819.0,HIT_STOP_LOSS,29.23,BEAR_FLAT_50,2022-03-02,2,-2.56
2022-03-02,HDFCBANK,687.1,661.47,-3716.35,-3.73,132102.65,HIT_STOP_LOSS,28.16,BEAR_FLAT_50,2022-03-07,3,-2.94
2022-03-04,HINDUNILVR,2019.5,1965.96,-2623.22,-2.65,129479.44,HIT_STOP_LOSS,27.96,BEAR_FLAT_50,2022-03-07,1,-2.75
2022-03-07,HINDUNILVR,2019.5,1965.96,-2623.22,-2.65,126856.22,HIT_STOP_LOSS,28.59,BEAR_FLAT_50,2022-03-07,1,-2.75
2022-03-08,AXISBANK,670.4,722.5,7762.9,7.77,134619.12,HIT_TARGET,27.47,BEAR_FLAT_50,2022-03-15,5,-2.83
2022-03-08,HINDUNILVR,1949.0,2067.81,6059.31,6.1,140678.43,HIT_TARGET,27.47,BEAR_FLAT_50,2022-03-09,2,-2.67
2022-04-12,INFY,1742.45,1694.16,-2752.25,-2.77,137926.19,HIT_STOP_LOSS,17.79,BULL_SLOPE_50,2022-04-18,2,-2.39
2022-04-19,TCS,3471.9,3612.98,3950.24,4.06,141876.43,HIT_TARGET,18.67,BEAR_FLAT_50,2022-04-20,2,-2.87
2022-04-20,INFY,1587.7,1527.84,-3711.32,-3.77,138165.11,HIT_STOP_LOSS,17.85,BULL_SLOPE_50,2022-05-10,11,-2.43
2022-05-04,AXISBANK,707.2,683.23,-3380.48,-3.39,134784.63,HIT_STOP_LOSS,20.29,BEAR_FLAT_50,2022-05-05,2,-2.27
2022-05-04,SBIN,479.65,467.41,-2544.88,-2.55,132239.75,HIT_STOP_LOSS,20.29,BEAR_FLAT_50,2022-05-10,4,-2.37
2022-05-05,AXISBANK,702.35,677.99,-3459.12,-3.47,128780.63,HIT_STOP_LOSS,21.25,BEAR_FLAT_50,2022-05-05,1,-2.25
2022-05-06,AXISBANK,673.4,647.8,-3788.8,-3.8,124991.83,HIT_STOP_LOSS,21.25,BEAR_FLAT_50,2022-05-11,3,-2.56
2022-05-09,AXISBANK,673.4,647.8,-3788.8,-3.8,121203.03,HIT_STOP_LOSS,22.3,BEAR_FLAT_50,2022-05-11,3,-2.56
2022-05-10,AXISBANK,659.75,634.05,-3880.7,-3.9,117322.33,HIT_STOP_LOSS,22.8,BEAR_FLAT_50,2022-05-12,3,-2.35
